line,PCollection,Product,Description,Color,Size,Price,AT Ship
134,Dg Collection,DG0001,Fishnet Stay Up,White,O/S,8.95,72
131,Dg Collection,DG0001,Fishnet Stay Up,Black,O/S,8.95,216
135,Dg Collection,DG0001N,Back Seam Fishnet Stay Ups With Lace Top,Hot Pink,O/S,9.95,49
139,Dg Collection,DG0001X,Fishnet Stay Up,Black,QUEEN,9.95,90
143,Dg Collection,DG0002,Sheer Thigh High With Lace Top,Black,O/S,6.75,187
144,Dg Collection,DG0002,Sheer Thigh High With Lace Top,White,O/S,6.75,151
146,Dg Collection,DG0002X,Sheer Thigh High With Lace Top,White,QUEEN,7.75,62
145,Dg Collection,DG0002X,Sheer Thigh High With Lace Top,Black,QUEEN,7.75,93
151,Dg Collection,DG0005,Sheer Stay Up,White,O/S,8.95,81
149,Dg Collection,DG0005,Sheer Stay Up,Nude,O/S,8.95,69
150,Dg Collection,DG0005,Sheer Stay Up,Red,O/S,8.95,55
147,Dg Collection,DG0005,Sheer Stay Up,Black,O/S,8.95,240
154,Dg Collection,DG0005X,Sheer Stay Up,Black,QUEEN,9.95,128
159,Dg Collection,DG0006,Lace Top Fishnet Thigh Hi,Black,O/S,6.95,77
168,Dg Collection,DG0007,Sheer Thigh Hi,White,O/S,4.95,59
163,Dg Collection,DG0007,Sheer Thigh Hi,Black,O/S,4.95,491
169,Dg Collection,DG0007X,Backseam Thigh Hi,Black,QUEEN,5.95,68
178,Dg Collection,DG0010,Fence Net Pantyhose,Neon Pink,O/S,6.95,42
177,Dg Collection,DG0010,Fence Net Pantyhose,Black,O/S,6.95,107
180,Dg Collection,DG0011,"Fishnet Pantyhose, Back Seam",Black,O/S,5.95,47
182,Dg Collection,DG0011X,"Fishnet Pantyhose, Back Seam",Black,QUEEN,6.95,36
184,Dg Collection,DG0013,Suspender Pantyhose,Black,O/S,9.5,127
185,Dg Collection,DG0013,Suspender Pantyhose,Red,O/S,9.5,39
187,Dg Collection,DG0013X,Suspender Pantyhose,Black,QUEEN,10.5,69
190,Dg Collection,DG0015,Open Crotch Fishnet Bodystocking,Black,O/S,8.95,245
191,Dg Collection,DG0015,Open Crotch Fishnet Bodystocking,Neon Pink,O/S,8.95,47
192,Dg Collection,DG0015X,Open Crotch Fishnet Bodystocking,Black,QUEEN,9.95,50
202,Dg Collection,DG0035,Semi-Sheer Halter Garter Dress,Black,O/S,17.95,45
204,Dg Collection,DG0035X,Semi-Sheer Halter Garter Dress,Black,QUEEN,19.95,49
214,Dg Collection,DG0079,Open Crotch Fishnet Bodystocking,Black,O/S,11.95,74
215,Dg Collection,DG0079N,Open Crotch Fishnet Bodystocking,Neon Pink,O/S,11.95,55
217,Dg Collection,DG0082,Sheer Open Crotch Pantyhose,Black,O/S,6.5,64
218,Dg Collection,DG0082X,Sheer Open Crotch Pantyhose,Black,QUEEN,7.95,59
225,Dg Collection,DG0115,"Fence-Net Stockings, Stay Up Lace Top",Black,O/S,9.95,37
227,Dg Collection,DG0144,Lace Garter Dress,Black,O/S,27.5,54
243,Dg Collection,DG0215,Fishnet Thigh Hi,Black,O/S,6.5,52
246,Dg Collection,DG0219,Sheer Boot Design Thigh Hi,Black,O/S,9.95,54
261,Dg Collection,DG0250,Semi Opaque Suspender Pantyhose,Black,O/S,10.5,50
